??,??,??,???,???,??,??,???(?),????(?),???
9/7/2018,8344.57,8322.36,-1.8,-0.02%,8270.4,8462.39,73396304,8550168,-
9/6/2018,8369.3,8324.16,-78.35,-0.93%,8295.48,8450.89,65487336,7736813,-
9/5/2018,8519.57,8402.51,-151.93,-1.78%,8402.51,8536.84,78875368,7978505,-
9/4/2018,8454.14,8554.44,98.89,1.17%,8420.88,8573.2,78584496,8588861,-
9/3/2018,8440.95,8455.55,-9.92,-0.12%,8344.93,8459.95,72134264,7713817.5,-
8/31/2018,8509.27,8465.47,-87.33,-1.02%,8425.35,8536.06,66159696,7419030.5,-
8/30/2018,8666.9,8552.8,-125.46,-1.45%,8543.79,8701.04,76351168,8024107.5,-
8/29/2018,8716.82,8678.26,-55.49,-0.64%,8649.73,8724.81,74668904,7848147.5,-
8/28/2018,8731.64,8733.75,5.19,0.06%,8693.52,8758.71,74631984,8922090,-
8/27/2018,8511.37,8728.56,243.82,2.87%,8511.37,8728.56,85603840,10062683,-
8/24/2018,8480.22,8484.74,-16.65,-0.20%,8438.08,8544.25,61305424,6982831.5,-
8/23/2018,8446.98,8501.39,46.64,0.55%,8411.74,8543.42,66116424,7771055.5,-
8/22/2018,8533.43,8454.75,-94.31,-1.10%,8440.58,8533.43,56757756,6509614.5,-
8/21/2018,8419.79,8549.06,134.91,1.60%,8396.58,8561.79,71300960,8697412,-
8/20/2018,8355,8414.15,57.11,0.68%,8241.14,8414.15,71368120,8301746.5,-
8/17/2018,8573.57,8357.04,-143.38,-1.69%,8341.11,8597.79,68651104,7988607.5,-
8/16/2018,8470.91,8500.42,-80.76,-0.94%,8408,8628.92,70892624,8126543.5,-
8/15/2018,8786.35,8581.18,-203.72,-2.32%,8567.23,8786.35,71337512,8106588.5,-
8/14/2018,8832.27,8784.9,-59.96,-0.68%,8752.76,8843.57,64061404,7689475,-
8/13/2018,8712.12,8844.86,31.37,0.36%,8676.21,8855.62,75170856,9265487,-
8/10/2018,8752.94,8813.49,61.29,0.70%,8742.4,8839.29,70223480,8589353,-
8/9/2018,8475.79,8752.2,252.98,2.98%,8460.43,8797.58,93519952,10572598,-
8/8/2018,8654.55,8499.22,-174.8,-2.02%,8498.21,8665.39,72261232,8225565,-
8/7/2018,8453.55,8674.03,251.19,2.98%,8379.7,8674.03,77875472,9071448,-
8/6/2018,8582.43,8422.84,-179.28,-2.08%,8374.4,8638.37,70395112,8444137,-
8/3/2018,8767.56,8602.12,-178.44,-2.03%,8602.12,8807.95,67245736,8299114.5,-
8/2/2018,8971.71,8780.56,-224.81,-2.50%,8613.84,8971.71,98666608,11293368,-
8/1/2018,9205.75,9005.37,-173.41,-1.89%,9005.37,9235.74,80558520,9381212,-
7/31/2018,9168.83,9178.78,-3.16,-0.03%,9132.08,9216.73,64495236,7734057.5,-
7/30/2018,9289.36,9181.94,-113.99,-1.23%,9139.74,9309.44,74827296,8810808,-
7/27/2018,9344.75,9295.93,-56.32,-0.60%,9270.36,9363.17,74742112,8215485.5,-
7/26/2018,9467.57,9352.25,-111.51,-1.18%,9331.45,9488.39,95594424,10607505,-
7/25/2018,9475.72,9463.76,-2.04,-0.02%,9436.99,9514.94,99638200,11905511,-
7/24/2018,9316.65,9465.8,151.5,1.63%,9313.17,9491.24,122933648,14740193,-
7/23/2018,9188.47,9314.3,62.82,0.68%,9160.05,9314.3,98863544,12122957,-
7/20/2018,9141.51,9251.48,102.7,1.12%,9055.86,9277.95,84119472,10190592,-
7/19/2018,9214.9,9148.78,-46.46,-0.51%,9116.45,9266.93,69119808,8488527,-
7/18/2018,9293.2,9195.24,-89.92,-0.97%,9195.24,9335.09,74758576,9287229,-
